rider_id,signup_date,home_city,customer_segment
R000112,2025-07-25,Metroville,Occasional
R000113,2025-02-10,Metroville,Occasional
R000114,2024-12-01,Riverton,Occasional
R000115,2025-01-05,Metroville,Regular
R000116,2025-02-20,Riverton,Occasional
R000117,2024-01-28,Lakewood,Occasional
R000118,2024-04-12,Lakewood,Regular
R000119,2024-06-28,Metroville,Regular
R000120,2024-03-24,Hillview,Occasional
R000121,2024-11-17,Riverton,Frequent
R000122,2025-05-04,Riverton,Regular
R000123,2025-04-24,Riverton,Regular
R000124,2024-12-10,Lakewood,Occasional
R000125,2025-09-17,Hillview,Occasional
R000126,2025-02-17,Lakewood,Occasional
R000127,2024-02-27,Lakewood,Regular
R000128,2025-07-13,Metroville,Frequent
R000129,2025-02-24,Metroville,Frequent
R000130,2025-04-09,Riverton,Occasional
R000131,2025-02-17,Metroville,Frequent
R000132,2025-02-09,Riverton,Regular
R000133,2024-03-07,Hillview,Regular
R000134,2025-02-13,Lakewood,Frequent
R000135,2025-08-04,Metroville,Occasional
R000136,2024-08-10,Riverton,Occasional
R000137,2025-03-17,Metroville,Frequent
R000138,2024-01-23,Riverton,Occasional
R000139,2024-09-11,Lakewood,Regular
R000140,2024-11-15,Lakewood,Frequent
R000141,2025-12-20,Lakewood,Frequent
R000142,2024-06-06,Lakewood,Occasional
R000143,2024-07-21,Metroville,Regular
R000144,2024-10-26,Metroville,Occasional
R000145,2025-12-27,Lakewood,Frequent
R000146,2025-09-16,Hillview,Regular
R000147,2024-01-26,Metroville,Regular
R000148,2024-06-20,Metroville,Frequent
R000149,2025-08-24,Metroville,Regular
R000150,2024-02-12,Lakewood,Regular
R000151,2025-09-18,Metroville,Regular
R000152,2024-07-24,Riverton,Regular
R000153,2025-11-02,Metroville,Regular
R000154,2024-08-02,Riverton,Frequent
R000155,2024-11-13,Metroville,Occasional
R000156,2025-04-29,Lakewood,Occasional
R000157,2024-04-02,Metroville,Occasional
R000158,2025-02-11,Riverton,Occasional
R000159,2025-01-04,Hillview,Regular
R000160,2025-07-27,Metroville,Regular
R000161,2025-12-30,Hillview,Occasional
R000162,2025-05-01,Metroville,Regular
R000163,2024-10-26,Lakewood,Occasional
R000164,2024-10-24,Riverton,Regular
R000165,2024-11-01,Metroville,Occasional
R000166,2025-08-18,Lakewood,Occasional
R000167,2024-08-23,Metroville,Occasional
R000168,2024-05-02,Riverton,Occasional
R000169,2024-09-01,Lakewood,Regular
R000170,2024-01-17,Hillview,Regular
R000171,2024-03-18,Metroville,Occasional
R000172,2024-03-06,Hillview,Regular
R000173,2025-07-18,Metroville,Regular
R000174,2025-06-12,Riverton,Regular
R000175,2025-05-25,Metroville,Occasional
R000176,2024-12-04,Metroville,Regular
R000177,2025-06-08,Metroville,Regular
R000178,2024-04-28,Riverton,Regular
R000179,2025-10-21,Metroville,Occasional
R000180,2025-01-01,Lakewood,Occasional
R000181,2025-11-17,Hillview,Occasional
R000182,2024-04-21,Metroville,Frequent
R000183,2024-12-30,Metroville,Regular
R000184,2025-05-24,Metroville,Regular
R000185,2024-12-28,Metroville,Regular
R000186,2024-11-22,Lakewood,Occasional
R000187,2024-05-01,Riverton,Occasional
R000188,2024-10-05,Metroville,Regular
R000189,2024-06-23,Metroville,Occasional
R000190,2024-08-08,Riverton,Frequent
R000191,2025-05-15,Metroville,Occasional
R000192,2025-04-06,Lakewood,Regular
R000193,2025-03-20,Hillview,Occasional
R000194,2024-09-21,Metroville,Frequent
R000195,2025-12-03,Lakewood,Frequent
R000196,2024-03-05,Riverton,Occasional
R000197,2024-09-07,Riverton,Regular
R000198,2024-03-27,Riverton,Frequent
R000199,2024-09-05,Riverton,Regular
R000200,2025-12-05,Lakewood,Occasional
R000201,2024-09-25,Lakewood,Regular
R000202,2025-10-27,Riverton,Occasional
R000203,2024-12-28,Riverton,Occasional
R000204,2025-05-27,Riverton,Frequent
R000205,2024-11-30,Lakewood,Frequent
R000206,2024-07-13,Hillview,Occasional
R000207,2025-07-13,Metroville,Occasional
R000208,2025-12-10,Metroville,Occasional
R000209,2024-07-11,Metroville,Frequent
R000210,2025-07-24,Metroville,Frequent
R000211,2024-07-10,Riverton,Frequent
R000212,2025-06-08,Metroville,Occasional
R000213,2025-07-31,Riverton,Occasional
R000214,2024-11-24,Lakewood,Regular
R000215,2025-06-23,Metroville,Occasional
R000216,2024-07-18,Metroville,Occasional
R000217,2024-02-28,Lakewood,Occasional
R000218,2024-03-11,Riverton,Regular
R000219,2024-11-23,Lakewood,Regular
R000220,2025-10-22,Metroville,Regular
R000221,2024-04-03,Metroville,Occasional
R000222,2024-11-29,Metroville,Regular
R000223,2025-05-30,Metroville,Regular
R000224,2024-05-28,Hillview,Occasional
R000225,2025-06-12,Metroville,Regular
R000226,2024-08-11,Metroville,Regular
R000227,2025-08-14,Hillview,Occasional
R000228,2025-02-27,Riverton,Frequent
R000229,2025-02-04,Lakewood,Regular
R000230,2024-05-09,Riverton,Regular
R000231,2024-12-05,Hillview,Frequent
R000232,2025-09-19,Metroville,Regular
R000233,2024-01-15,Metroville,Regular
R000234,2025-07-09,Hillview,Occasional
R000235,2024-12-26,Riverton,Regular
R000236,2025-06-10,Hillview,Frequent
R000237,2025-04-30,Metroville,Frequent
R000238,2024-11-12,Hillview,Regular
R000239,2024-08-13,Metroville,Regular
R000240,2025-04-04,Riverton,Regular
R000241,2024-04-12,Hillview,Regular
R000242,2025-03-03,Metroville,Occasional
R000243,2024-03-10,Metroville,Occasional
R000244,2025-04-20,Lakewood,Regular
R000245,2025-04-05,Hillview,Regular
R000246,2024-03-02,Metroville,Regular
R000247,2025-07-08,Hillview,Frequent
R000248,2024-10-31,Metroville,Frequent
R000249,2025-07-30,Lakewood,Frequent
R000250,2024-01-31,Metroville,Frequent
R000251,2024-05-11,Hillview,Regular
R000252,2024-12-27,Metroville,Regular
R000253,2024-05-17,Lakewood,Occasional
R000254,2024-08-29,Metroville,Frequent
R000255,2025-04-28,Hillview,Occasional
R000256,2024-04-15,Riverton,Regular
R000257,2025-05-11,Metroville,Occasional
R000258,2024-03-16,Metroville,Regular
R000259,2024-05-08,Lakewood,Occasional
R000260,2025-03-06,Lakewood,Regular
R000261,2025-08-03,Riverton,Frequent
R000262,2024-05-04,Lakewood,Occasional
R000263,2024-08-07,Lakewood,Occasional
R000264,2025-11-08,Riverton,Frequent
R000265,2025-12-25,Lakewood,Occasional
R000266,2025-03-01,Metroville,Regular
R000267,2024-11-23,Metroville,Frequent
R000268,2024-09-10,Metroville,Regular
R000269,2025-03-24,Riverton,Occasional
R000270,2025-03-08,Metroville,Regular
R000271,2024-08-03,Lakewood,Frequent
R000272,2024-01-17,Metroville,Occasional
R000273,2024-04-20,Riverton,Regular
R000274,2025-12-02,Metroville,Occasional
R000275,2024-11-02,Lakewood,Frequent
R000276,2024-12-19,Metroville,Occasional
R000277,2024-12-07,Metroville,Occasional
R000278,2025-07-26,Metroville,Occasional
R000279,2024-02-17,Lakewood,Frequent
R000280,2024-03-01,Riverton,Regular
R000281,2024-07-20,Metroville,Occasional
R000282,2024-12-22,Riverton,Occasional
R000283,2025-05-06,Lakewood,Frequent
R000284,2024-12-25,Lakewood,Occasional
R000285,2024-11-18,Lakewood,Regular
R000286,2025-11-17,Metroville,Regular
R000287,2024-04-27,Riverton,Regular
R000288,2025-02-22,Riverton,Regular
R000289,2025-01-31,Riverton,Frequent
R000290,2024-12-12,Metroville,Occasional
R000291,2025-08-14,Riverton,Occasional
R000292,2024-07-14,Metroville,Occasional
R000293,2025-11-29,Lakewood,Occasional
R000294,2024-08-30,Metroville,Regular
R000295,2025-02-02,Metroville,Regular
R000296,2025-01-16,Riverton,Frequent
R000297,2025-09-14,Hillview,Frequent
R000298,2024-11-17,Metroville,Occasional
R000299,2024-07-27,Lakewood,Regular
R000300,2024-01-16,Riverton,Regular
R000301,2024-09-23,Hillview,Frequent
R000302,2025-08-27,Riverton,Occasional
R000303,2024-01-08,Metroville,Regular
R000304,2025-10-17,Metroville,Occasional
R000305,2025-02-01,Riverton,Occasional
R000306,2024-04-12,Metroville,Regular
R000307,2024-08-09,Hillview,Occasional
R000308,2025-02-09,Hillview,Occasional
R000309,2024-08-19,Hillview,Regular
R000310,2024-03-20,Metroville,Occasional
R000311,2025-05-02,Riverton,Occasional
R000312,2025-05-07,Riverton,Regular
R000313,2024-03-28,Metroville,Regular
R000314,2024-07-24,Metroville,Regular
R000315,2024-06-27,Metroville,Frequent
R000316,2025-04-27,Lakewood,Occasional
R000317,2025-06-18,Hillview,Occasional
R000318,2025-06-16,Hillview,Occasional
R000319,2025-11-18,Metroville,Regular
R000320,2025-07-16,Lakewood,Occasional
R000321,2024-08-22,Metroville,Frequent
R000322,2024-03-19,Metroville,Regular
R000323,2025-03-25,Metroville,Regular
R000324,2025-11-01,Riverton,Frequent
R000325,2025-12-14,Riverton,Regular
R000326,2024-06-17,Hillview,Regular
R000327,2024-06-22,Hillview,Regular
R000328,2024-01-28,Metroville,Occasional
R000329,2024-04-13,Riverton,Regular
R000330,2025-02-10,Metroville,Occasional
R000331,2025-02-04,Lakewood,Regular
R000332,2024-09-28,Lakewood,Frequent
R000333,2024-08-14,Metroville,Regular
R000334,2025-08-30,Metroville,Occasional
R000335,2024-12-02,Metroville,Occasional
R000336,2025-08-14,Metroville,Frequent
R000337,2025-12-06,Hillview,Occasional
R000338,2024-08-20,Metroville,Regular
R000339,2024-05-28,Lakewood,Regular
R000340,2025-11-28,Hillview,Occasional
R000341,2025-04-09,Lakewood,Regular
R000342,2024-07-31,Lakewood,Occasional
R000343,2025-03-31,Hillview,Regular
R000344,2025-01-12,Metroville,Occasional
R000345,2025-10-24,Metroville,Occasional
R000346,2024-07-06,Lakewood,Occasional
R000347,2025-12-26,Lakewood,Frequent
R000348,2025-11-16,Riverton,Regular
R000349,2024-05-12,Metroville,Frequent
R000350,2024-04-30,Riverton,Regular
R000351,2025-01-25,Riverton,Frequent
R000352,2024-02-02,Hillview,Regular
R000353,2024-08-06,Metroville,Occasional
R000354,2024-11-14,Metroville,Regular
R000355,2025-12-10,Hillview,Occasional
R000356,2025-12-27,Riverton,Frequent
R000357,2024-04-20,Metroville,Frequent
R000358,2025-10-14,Metroville,Occasional
R000359,2024-03-07,Riverton,Frequent
R000360,2025-07-01,Lakewood,Occasional
R000361,2025-09-11,Lakewood,Regular
R000362,2025-10-14,Hillview,Frequent
R000363,2024-06-12,Metroville,Occasional
R000364,2025-10-16,Metroville,Occasional
R000365,2024-03-25,Riverton,Regular
R000366,2025-01-14,Hillview,Occasional
R000367,2024-12-09,Metroville,Regular
R000368,2024-08-19,Riverton,Regular
R000369,2024-01-17,Metroville,Occasional
R000370,2025-07-19,Metroville,Occasional
R000371,2024-09-02,Hillview,Frequent
R000372,2025-04-29,Metroville,Regular
R000373,2024-10-27,Metroville,Regular
R000374,2024-09-30,Riverton,Occasional
R000375,2025-10-10,Lakewood,Frequent
R000376,2024-03-10,Lakewood,Occasional
R000377,2025-06-23,Riverton,Occasional
R000378,2025-06-30,Metroville,Occasional
R000379,2024-10-05,Riverton,Regular
R000380,2024-07-11,Metroville,Occasional
R000381,2024-01-04,Metroville,Occasional
R000382,2025-11-16,Riverton,Regular
R000383,2025-11-24,Metroville,Regular
R000384,2024-06-25,Hillview,Occasional
R000385,2024-01-24,Hillview,Regular
R000386,2024-03-30,Hillview,Occasional
R000387,2024-02-19,Metroville,Occasional
R000388,2025-08-31,Metroville,Occasional
R000389,2025-10-14,Hillview,Frequent
R000390,2024-04-22,Lakewood,Regular
R000391,2025-06-30,Riverton,Occasional
R000392,2024-05-11,Hillview,Occasional
R000393,2024-09-25,Metroville,Occasional
R000394,2025-03-14,Metroville,Regular
R000395,2025-06-10,Riverton,Regular
R000396,2025-10-02,Lakewood,Occasional
R000397,2024-02-02,Metroville,Frequent
R000398,2024-05-23,Lakewood,Occasional
R000399,2024-07-24,Riverton,Occasional
R000400,2024-08-15,Lakewood,Occasional
R000401,2025-12-31,Metroville,Occasional
R000402,2025-07-23,Riverton,Frequent
R000403,2024-08-22,Riverton,Regular
R000404,2025-12-12,Hillview,Regular
R000405,2024-12-31,Metroville,Occasional
R000406,2025-01-01,Hillview,Occasional
R000407,2024-11-13,Riverton,Occasional
R000408,2024-04-15,Riverton,Regular
R000409,2025-11-14,Metroville,Occasional
R000410,2024-01-11,Metroville,Occasional
R000411,2024-05-07,Lakewood,Frequent
R000412,2024-06-17,Metroville,Regular
R000413,2024-07-23,Metroville,Occasional
R000414,2024-04-06,Hillview,Regular
R000415,2024-01-14,Metroville,Occasional
R000416,2025-05-11,Hillview,Regular
R000417,2025-12-10,Lakewood,Frequent
R000418,2024-03-30,Hillview,Occasional
R000419,2024-08-05,Metroville,Frequent
R000420,2025-01-05,Riverton,Occasional
R000421,2025-11-09,Lakewood,Occasional
R000422,2025-05-23,Hillview,Regular
R000423,2025-07-14,Metroville,Regular
R000424,2025-03-01,Metroville,Occasional
R000425,2024-11-01,Hillview,Occasional
R000426,2024-05-26,Metroville,Occasional
R000427,2025-09-24,Riverton,Occasional
R000428,2025-08-11,Metroville,Occasional
R000429,2024-01-19,Metroville,Occasional
R000430,2025-06-07,Lakewood,Frequent
R000431,2024-03-02,Lakewood,Regular
R000432,2025-06-24,Lakewood,Frequent
R000433,2025-08-27,Lakewood,Occasional
R000434,2024-04-05,Riverton,Occasional
R000435,2024-11-13,Hillview,Regular
R000436,2024-03-31,Metroville,Regular
R000437,2025-02-19,Metroville,Regular
R000438,2025-11-09,Metroville,Occasional
R000439,2024-02-29,Riverton,Frequent
R000440,2024-10-18,Metroville,Regular
R000441,2025-12-13,Riverton,Occasional
R000442,2024-08-08,Lakewood,Regular
R000443,2024-04-06,Riverton,Occasional
R000444,2024-12-23,Hillview,Occasional
R000445,2025-01-07,Lakewood,Frequent
R000446,2025-04-30,Lakewood,Regular
R000447,2024-08-17,Metroville,Occasional
R000448,2025-11-30,Lakewood,Occasional
R000449,2025-01-16,Metroville,Occasional
R000450,2024-07-28,Hillview,Frequent
R000451,2025-12-03,Lakewood,Frequent
R000452,2025-11-07,Metroville,Regular
R000453,2024-12-31,Metroville,Frequent
R000454,2024-01-19,Lakewood,Occasional
R000455,2025-03-12,Hillview,Frequent
R000456,2025-02-10,Metroville,Regular
R000457,2024-04-18,Metroville,Frequent
R000458,2025-04-09,Lakewood,Frequent
R000459,2025-09-07,Hillview,Regular
R000460,2024-03-18,Hillview,Occasional
R000461,2025-06-13,Metroville,Occasional
R000462,2024-04-12,Riverton,Occasional
R000463,2025-07-02,Riverton,Occasional
R000464,2024-11-02,Riverton,Occasional
R000465,2024-01-05,Lakewood,Regular
R000466,2025-12-08,Riverton,Occasional
R000467,2024-05-01,Lakewood,Frequent
R000468,2025-03-12,Metroville,Occasional
R000469,2024-05-12,Metroville,Occasional
R000470,2025-11-13,Lakewood,Occasional
R000471,2025-06-24,Metroville,Frequent
R000472,2025-08-11,Lakewood,Occasional
R000473,2024-11-12,Hillview,Occasional
R000474,2024-12-08,Hillview,Occasional
R000475,2025-04-09,Metroville,Occasional
R000476,2025-07-28,Metroville,Frequent
R000477,2025-09-11,Riverton,Regular
R000478,2024-01-14,Lakewood,Occasional
R000479,2025-04-30,Metroville,Occasional
R000480,2024-03-20,Riverton,Occasional
R000481,2024-07-29,Metroville,Regular
R000482,2025-08-30,Metroville,Occasional
R000483,2024-07-02,Riverton,Regular
R000484,2025-08-06,Riverton,Occasional
R000485,2024-12-04,Lakewood,Occasional
R000486,2024-06-19,Riverton,Regular
R000487,2024-09-01,Hillview,Regular
R000488,2025-01-23,Metroville,Regular
R000489,2025-07-14,Riverton,Regular
R000490,2025-03-19,Metroville,Frequent
R000491,2025-11-14,Lakewood,Frequent
R000492,2025-09-27,Lakewood,Occasional
R000493,2025-07-05,Lakewood,Frequent
R000494,2025-03-17,Metroville,Regular
R000495,2024-07-31,Riverton,Regular
R000496,2024-10-29,Lakewood,Regular
R000497,2024-03-28,Hillview,Occasional
R000498,2024-09-30,Lakewood,Regular
R000499,2025-11-09,Hillview,Regular
R000500,2024-11-07,Lakewood,Frequent
R000501,2024-03-24,Lakewood,Occasional
R000502,2025-04-22,Riverton,Frequent
R000503,2025-12-05,Riverton,Occasional
R000504,2025-09-27,Lakewood,Frequent
R000505,2024-07-19,Lakewood,Regular
R000506,2024-11-28,Lakewood,Regular
R000507,2025-01-23,Lakewood,Regular
R000508,2024-06-30,Lakewood,Frequent
R000509,2024-07-15,Riverton,Occasional
R000510,2024-06-22,Lakewood,Occasional
R000511,2025-12-29,Lakewood,Frequent
R000512,2025-06-30,Riverton,Occasional
R000513,2025-09-07,Hillview,Regular
R000514,2025-08-20,Metroville,Regular
R000515,2025-12-03,Metroville,Frequent
R000516,2024-03-18,Metroville,Frequent
R000517,2025-10-07,Riverton,Occasional
R000518,2024-02-18,Lakewood,Regular
R000519,2024-12-14,Lakewood,Regular
R000520,2025-03-11,Metroville,Regular
R000521,2024-09-18,Hillview,Occasional
R000522,2024-04-16,Lakewood,Occasional
R000523,2024-05-20,Riverton,Regular
R000524,2025-08-26,Metroville,Occasional
R000525,2024-08-21,Metroville,Regular
R000526,2024-08-15,Metroville,Occasional
R000527,2025-11-06,Lakewood,Frequent
R000528,2024-04-15,Lakewood,Frequent
R000529,2025-10-31,Metroville,Regular
R000530,2025-11-05,Metroville,Frequent
R000531,2025-03-14,Metroville,Frequent
R000532,2024-05-01,Lakewood,Regular
R000533,2024-04-24,Metroville,Regular
R000534,2024-07-27,Metroville,Occasional
R000535,2025-02-26,Metroville,Frequent
R000536,2024-04-22,Riverton,Regular
R000537,2024-11-29,Hillview,Regular
R000538,2024-03-25,Riverton,Regular
R000539,2025-01-30,Metroville,Occasional
R000540,2024-01-16,Hillview,Regular
R000541,2025-06-03,Hillview,Frequent
R000542,2024-02-10,Lakewood,Occasional
R000543,2024-05-22,Metroville,Occasional
R000544,2024-05-07,Riverton,Frequent
R000545,2025-08-31,Hillview,Occasional
R000546,2024-02-09,Riverton,Regular
R000547,2024-11-10,Riverton,Regular
R000548,2025-03-08,Riverton,Regular
R000549,2025-01-12,Hillview,Occasional
R000550,2025-05-13,Metroville,Occasional
R000551,2025-08-10,Metroville,Regular
R000552,2024-10-15,Hillview,Occasional
R000553,2025-08-29,Metroville,Regular
R000554,2024-08-20,Lakewood,Frequent
R000555,2025-12-21,Metroville,Frequent
R000556,2025-01-04,Metroville,Occasional
R000557,2025-06-22,Metroville,Regular
R000558,2025-10-02,Lakewood,Occasional
R000559,2025-08-03,Lakewood,Regular
R000560,2025-09-15,Lakewood,Occasional
R000561,2025-01-27,Metroville,Frequent
R000562,2024-02-01,Hillview,Regular
R000563,2024-12-26,Lakewood,Occasional
R000564,2024-05-12,Hillview,Occasional
R000565,2025-10-12,Lakewood,Regular
R000566,2024-06-22,Metroville,Frequent
R000567,2024-06-15,Riverton,Occasional
R000568,2024-07-01,Hillview,Regular
R000569,2025-04-15,Metroville,Occasional
R000570,2025-02-22,Riverton,Frequent
R000571,2025-11-25,Riverton,Regular
R000572,2024-10-31,Metroville,Regular
R000573,2024-07-25,Lakewood,Occasional
R000574,2024-02-06,Metroville,Frequent
R000575,2024-01-06,Metroville,Regular
R000576,2024-09-30,Hillview,Occasional
R000577,2025-11-08,Lakewood,Regular
R000578,2025-01-18,Riverton,Occasional
R000579,2025-10-16,Riverton,Frequent
R000580,2024-03-15,Hillview,Regular
R000581,2024-03-09,Lakewood,Regular
R000582,2025-09-02,Lakewood,Occasional
R000583,2024-03-19,Metroville,Frequent
R000584,2024-02-08,Riverton,Frequent
R000585,2024-10-22,Lakewood,Regular
R000586,2025-11-07,Riverton,Regular
R000587,2025-05-19,Lakewood,Occasional
R000588,2024-03-13,Metroville,Occasional
R000589,2025-09-04,Hillview,Frequent
R000590,2025-09-09,Hillview,Regular
R000591,2025-08-09,Lakewood,Occasional
R000592,2025-10-22,Riverton,Regular
R000593,2024-06-24,Lakewood,Occasional
R000594,2025-12-18,Riverton,Occasional
R000595,2024-08-22,Lakewood,Frequent
R000596,2025-08-10,Lakewood,Occasional
R000597,2025-02-28,Metroville,Occasional
R000598,2025-07-24,Metroville,Frequent
R000599,2025-04-04,Riverton,Occasional
R000600,2025-04-15,Lakewood,Occasional
R000601,2025-03-27,Metroville,Regular
R000602,2025-07-24,Metroville,Occasional
R000603,2025-06-24,Lakewood,Occasional
R000604,2024-04-08,Riverton,Regular
R000605,2025-08-27,Lakewood,Frequent
R000606,2025-01-27,Riverton,Frequent
R000607,2024-08-24,Hillview,Occasional
R000608,2025-01-11,Metroville,Regular
R000609,2025-12-08,Riverton,Regular
R000610,2025-09-19,Metroville,Occasional
R000611,2025-09-02,Lakewood,Occasional
R000612,2024-12-04,Metroville,Regular
R000613,2025-07-27,Metroville,Occasional
R000614,2024-10-08,Metroville,Frequent
R000615,2025-05-17,Metroville,Occasional
R000616,2025-04-13,Hillview,Occasional
R000617,2024-07-01,Lakewood,Frequent
R000618,2024-07-14,Hillview,Frequent
R000619,2024-02-14,Lakewood,Occasional
R000620,2024-04-12,Riverton,Regular
R000621,2024-11-13,Metroville,Frequent
R000622,2024-12-15,Lakewood,Occasional
R000623,2024-04-30,Lakewood,Regular
R000624,2024-11-01,Hillview,Regular
R000625,2025-03-18,Hillview,Occasional
R000626,2024-06-19,Metroville,Frequent
R000627,2024-09-04,Riverton,Frequent
R000628,2024-09-26,Riverton,Regular
R000629,2025-01-04,Lakewood,Occasional
R000630,2024-09-25,Metroville,Frequent
R000631,2025-06-23,Riverton,Regular
R000632,2024-08-27,Riverton,Occasional
R000633,2024-11-13,Metroville,Regular
R000634,2024-10-04,Lakewood,Regular
R000635,2024-05-13,Metroville,Occasional
R000636,2025-05-16,Hillview,Occasional
R000637,2024-06-21,Metroville,Frequent
R000638,2024-08-05,Metroville,Frequent
R000639,2025-08-03,Metroville,Occasional
R000640,2025-11-25,Hillview,Occasional
R000641,2025-05-06,Riverton,Occasional
R000642,2025-11-01,Metroville,Regular
R000643,2025-09-17,Metroville,Occasional
R000644,2024-12-18,Riverton,Regular
R000645,2025-07-17,Lakewood,Occasional
R000646,2024-08-28,Metroville,Frequent
R000647,2024-12-03,Hillview,Frequent
R000648,2025-01-26,Metroville,Regular
R000649,2025-12-04,Lakewood,Occasional
R000650,2025-09-13,Metroville,Regular
R000651,2024-12-24,Riverton,Occasional
R000652,2025-04-22,Riverton,Occasional
R000653,2024-05-28,Lakewood,Regular
R000654,2025-08-11,Riverton,Frequent
R000655,2025-02-08,Hillview,Frequent
R000656,2025-01-24,Riverton,Occasional
R000657,2025-07-14,Lakewood,Regular
R000658,2025-04-08,Lakewood,Occasional
R000659,2024-02-23,Hillview,Regular
R000660,2024-07-29,Metroville,Occasional
R000661,2024-05-09,Metroville,Regular
R000662,2025-06-21,Metroville,Frequent
R000663,2024-01-26,Hillview,Occasional
R000664,2024-05-28,Metroville,Frequent
R000665,2025-03-13,Metroville,Regular
R000666,2025-05-23,Riverton,Regular
R000667,2025-01-03,Metroville,Regular
R000668,2025-09-22,Metroville,Occasional
