assignment_id,ticket_id,experiment_name,experiment_group,assigned_at,eligibility_flag
EXP000114,TK0000735,AV_Guided_Support_v1,Control,2026-04-08 18:21:50,True
EXP000115,TK0000739,AV_Guided_Support_v1,Treatment,2026-06-29 22:44:44,True
EXP000116,TK0000753,AV_Guided_Support_v1,Control,2026-06-27 17:51:48,True
EXP000117,TK0000755,AV_Guided_Support_v1,Treatment,2026-04-10 03:49:03,True
EXP000118,TK0000763,AV_Guided_Support_v1,Control,2026-04-14 07:11:36,True
EXP000119,TK0000765,AV_Guided_Support_v1,Control,2026-06-01 02:37:35,True
EXP000120,TK0000777,AV_Guided_Support_v1,Control,2026-04-02 16:11:54,True
EXP000121,TK0000778,AV_Guided_Support_v1,Treatment,2026-05-14 19:51:06,True
EXP000122,TK0000793,AV_Guided_Support_v1,Control,2026-04-22 15:29:26,True
EXP000123,TK0000800,AV_Guided_Support_v1,Control,2026-06-05 10:03:19,True
EXP000124,TK0000807,AV_Guided_Support_v1,Treatment,2026-04-18 09:55:43,True
EXP000125,TK0000808,AV_Guided_Support_v1,Control,2026-05-28 14:52:18,True
EXP000126,TK0000829,AV_Guided_Support_v1,Treatment,2026-05-25 09:05:19,True
EXP000127,TK0000840,AV_Guided_Support_v1,Treatment,2026-04-29 10:46:15,True
EXP000128,TK0000842,AV_Guided_Support_v1,Control,2026-06-07 21:32:40,True
EXP000129,TK0000848,AV_Guided_Support_v1,Treatment,2026-06-07 18:27:46,True
EXP000130,TK0000854,AV_Guided_Support_v1,Treatment,2026-06-21 18:10:12,True
EXP000131,TK0000865,AV_Guided_Support_v1,Control,2026-06-17 04:04:40,True
EXP000132,TK0000870,AV_Guided_Support_v1,Treatment,2026-04-14 21:43:25,True
EXP000133,TK0000872,AV_Guided_Support_v1,Treatment,2026-06-11 04:12:05,True
EXP000134,TK0000882,AV_Guided_Support_v1,Control,2026-06-01 00:12:49,True
EXP000135,TK0000883,AV_Guided_Support_v1,Treatment,2026-04-07 02:41:29,True
EXP000136,TK0000895,AV_Guided_Support_v1,Control,2026-05-07 23:55:09,True
EXP000137,TK0000896,AV_Guided_Support_v1,Control,2026-06-21 06:39:21,True
EXP000138,TK0000904,AV_Guided_Support_v1,Treatment,2026-06-16 23:03:02,True
EXP000139,TK0000906,AV_Guided_Support_v1,Control,2026-06-08 21:28:24,True
EXP000140,TK0000923,AV_Guided_Support_v1,Treatment,2026-04-26 14:47:19,True
EXP000141,TK0000927,AV_Guided_Support_v1,Treatment,2026-04-13 22:43:32,True
EXP000142,TK0000930,AV_Guided_Support_v1,Control,2026-06-02 04:52:16,True
EXP000143,TK0000943,AV_Guided_Support_v1,Control,2026-06-14 04:58:56,True
EXP000144,TK0000949,AV_Guided_Support_v1,Treatment,2026-04-20 22:41:58,True
EXP000145,TK0000951,AV_Guided_Support_v1,Treatment,2026-06-25 18:50:15,True
EXP000146,TK0000956,AV_Guided_Support_v1,Control,2026-05-01 06:03:20,True
EXP000147,TK0000959,AV_Guided_Support_v1,Treatment,2026-06-25 15:32:53,True
EXP000148,TK0000966,AV_Guided_Support_v1,Control,2026-05-30 07:04:55,True
EXP000149,TK0000980,AV_Guided_Support_v1,Control,2026-05-06 01:29:02,True
EXP000150,TK0000996,AV_Guided_Support_v1,Control,2026-06-04 05:15:34,True
EXP000151,TK0001001,AV_Guided_Support_v1,Treatment,2026-04-26 12:01:57,True
EXP000152,TK0001018,AV_Guided_Support_v1,Treatment,2026-05-12 20:45:06,True
EXP000153,TK0001028,AV_Guided_Support_v1,Treatment,2026-05-26 16:54:07,True
EXP000154,TK0001043,AV_Guided_Support_v1,Control,2026-05-26 19:46:41,True
EXP000155,TK0001054,AV_Guided_Support_v1,Treatment,2026-04-22 08:57:58,True
EXP000156,TK0001059,AV_Guided_Support_v1,Control,2026-05-13 12:40:00,True
EXP000157,TK0001061,AV_Guided_Support_v1,Control,2026-06-11 11:56:30,True
EXP000158,TK0001065,AV_Guided_Support_v1,Treatment,2026-06-23 12:24:18,True
EXP000159,TK0001082,AV_Guided_Support_v1,Control,2026-04-27 17:47:09,True
EXP000160,TK0001083,AV_Guided_Support_v1,Treatment,2026-06-25 07:36:09,True
EXP000161,TK0001085,AV_Guided_Support_v1,Treatment,2026-06-03 10:17:14,True
EXP000162,TK0001091,AV_Guided_Support_v1,Treatment,2026-06-25 15:23:01,True
EXP000163,TK0001100,AV_Guided_Support_v1,Control,2026-04-11 10:09:14,True
EXP000164,TK0001102,AV_Guided_Support_v1,Control,2026-05-11 12:10:18,True
EXP000165,TK0001107,AV_Guided_Support_v1,Control,2026-04-30 00:33:31,True
EXP000166,TK0001111,AV_Guided_Support_v1,Treatment,2026-04-14 23:23:39,True
EXP000167,TK0001113,AV_Guided_Support_v1,Control,2026-06-17 11:18:48,True
EXP000168,TK0001116,AV_Guided_Support_v1,Control,2026-06-16 13:59:21,True
EXP000169,TK0001141,AV_Guided_Support_v1,Control,2026-04-13 16:32:15,True
EXP000170,TK0001145,AV_Guided_Support_v1,Control,2026-04-30 03:31:10,True
EXP000171,TK0001150,AV_Guided_Support_v1,Treatment,2026-06-17 19:56:39,True
EXP000172,TK0001190,AV_Guided_Support_v1,Treatment,2026-05-05 03:55:32,True
EXP000173,TK0001191,AV_Guided_Support_v1,Treatment,2026-06-28 18:19:47,True
EXP000174,TK0001198,AV_Guided_Support_v1,Control,2026-04-19 00:48:00,True
EXP000175,TK0001206,AV_Guided_Support_v1,Control,2026-06-12 03:38:41,True
EXP000176,TK0001221,AV_Guided_Support_v1,Control,2026-05-08 18:32:59,True
EXP000177,TK0001226,AV_Guided_Support_v1,Control,2026-05-30 05:51:05,True
EXP000178,TK0001235,AV_Guided_Support_v1,Treatment,2026-04-03 23:40:59,True
EXP000179,TK0001249,AV_Guided_Support_v1,Control,2026-04-04 15:20:40,True
EXP000180,TK0001261,AV_Guided_Support_v1,Treatment,2026-06-21 22:27:39,True
EXP000181,TK0001272,AV_Guided_Support_v1,Treatment,2026-05-15 16:53:41,True
EXP000182,TK0001297,AV_Guided_Support_v1,Treatment,2026-06-02 22:37:41,True
EXP000183,TK0001311,AV_Guided_Support_v1,Treatment,2026-05-08 09:02:35,True
EXP000184,TK0001315,AV_Guided_Support_v1,Control,2026-04-23 01:01:41,True
EXP000185,TK0001319,AV_Guided_Support_v1,Control,2026-06-13 08:11:22,True
EXP000186,TK0001327,AV_Guided_Support_v1,Control,2026-05-24 02:59:41,True
EXP000187,TK0001331,AV_Guided_Support_v1,Treatment,2026-06-27 07:34:18,True
EXP000188,TK0001337,AV_Guided_Support_v1,Control,2026-04-24 13:28:11,True
EXP000189,TK0001342,AV_Guided_Support_v1,Control,2026-06-16 14:35:41,True
EXP000190,TK0001357,AV_Guided_Support_v1,Control,2026-04-26 07:00:28,True
EXP000191,TK0001362,AV_Guided_Support_v1,Treatment,2026-06-14 12:12:06,True
EXP000192,TK0001365,AV_Guided_Support_v1,Treatment,2026-04-11 08:52:47,True
EXP000193,TK0001366,AV_Guided_Support_v1,Treatment,2026-04-08 18:40:50,True
EXP000194,TK0001375,AV_Guided_Support_v1,Treatment,2026-04-26 21:41:20,True
EXP000195,TK0001377,AV_Guided_Support_v1,Treatment,2026-04-16 21:27:46,True
EXP000196,TK0001384,AV_Guided_Support_v1,Treatment,2026-05-08 13:55:09,True
EXP000197,TK0001390,AV_Guided_Support_v1,Control,2026-06-21 06:54:29,True
EXP000198,TK0001397,AV_Guided_Support_v1,Treatment,2026-06-16 06:15:20,True
EXP000199,TK0001409,AV_Guided_Support_v1,Treatment,2026-05-26 02:14:29,True
EXP000200,TK0001416,AV_Guided_Support_v1,Treatment,2026-04-14 17:41:14,True
EXP000201,TK0001421,AV_Guided_Support_v1,Treatment,2026-05-13 14:14:10,True
EXP000202,TK0001426,AV_Guided_Support_v1,Control,2026-06-09 06:42:24,True
EXP000203,TK0001429,AV_Guided_Support_v1,Control,2026-06-25 20:41:55,True
EXP000204,TK0001435,AV_Guided_Support_v1,Control,2026-05-26 15:10:50,True
EXP000205,TK0001446,AV_Guided_Support_v1,Control,2026-04-13 10:40:30,True
EXP000206,TK0001448,AV_Guided_Support_v1,Treatment,2026-05-13 12:34:20,True
EXP000207,TK0001449,AV_Guided_Support_v1,Control,2026-06-18 09:01:11,True
EXP000208,TK0001452,AV_Guided_Support_v1,Control,2026-04-03 22:59:40,True
EXP000209,TK0001457,AV_Guided_Support_v1,Control,2026-05-01 06:47:50,True
EXP000210,TK0001475,AV_Guided_Support_v1,Control,2026-06-08 02:58:40,True
EXP000211,TK0001476,AV_Guided_Support_v1,Control,2026-06-30 18:35:37,True
EXP000212,TK0001479,AV_Guided_Support_v1,Control,2026-05-04 09:11:59,True
EXP000213,TK0001481,AV_Guided_Support_v1,Control,2026-06-17 07:02:46,True
EXP000214,TK0001485,AV_Guided_Support_v1,Control,2026-05-28 10:38:38,True
EXP000215,TK0001502,AV_Guided_Support_v1,Control,2026-04-26 14:12:57,True
EXP000216,TK0001505,AV_Guided_Support_v1,Treatment,2026-04-02 14:02:26,True
EXP000217,TK0001530,AV_Guided_Support_v1,Control,2026-06-21 05:57:51,True
EXP000218,TK0001539,AV_Guided_Support_v1,Control,2026-05-16 19:29:42,True
EXP000219,TK0001541,AV_Guided_Support_v1,Control,2026-06-09 02:52:29,True
EXP000220,TK0001549,AV_Guided_Support_v1,Treatment,2026-06-18 09:37:03,True
EXP000221,TK0001555,AV_Guided_Support_v1,Control,2026-06-11 21:34:38,True
EXP000222,TK0001556,AV_Guided_Support_v1,Treatment,2026-05-15 16:07:02,True
EXP000223,TK0001563,AV_Guided_Support_v1,Treatment,2026-04-20 22:13:16,True
EXP000224,TK0001567,AV_Guided_Support_v1,Treatment,2026-04-01 19:53:17,True
EXP000225,TK0001579,AV_Guided_Support_v1,Treatment,2026-06-04 03:55:39,True
EXP000226,TK0001590,AV_Guided_Support_v1,Treatment,2026-04-02 18:01:14,True
EXP000227,TK0001596,AV_Guided_Support_v1,Treatment,2026-06-14 15:36:49,True
EXP000228,TK0001601,AV_Guided_Support_v1,Control,2026-04-10 19:44:19,True
EXP000229,TK0001613,AV_Guided_Support_v1,Treatment,2026-06-22 19:24:19,True
EXP000230,TK0001619,AV_Guided_Support_v1,Control,2026-06-11 12:28:16,True
EXP000231,TK0001634,AV_Guided_Support_v1,Control,2026-05-09 20:40:30,True
EXP000232,TK0001641,AV_Guided_Support_v1,Control,2026-06-06 05:11:06,True
EXP000233,TK0001642,AV_Guided_Support_v1,Treatment,2026-04-29 23:08:25,True
EXP000234,TK0001645,AV_Guided_Support_v1,Treatment,2026-05-22 03:35:35,True
EXP000235,TK0001647,AV_Guided_Support_v1,Treatment,2026-04-18 06:28:57,True
EXP000236,TK0001657,AV_Guided_Support_v1,Treatment,2026-05-26 22:26:39,True
EXP000237,TK0001686,AV_Guided_Support_v1,Control,2026-05-15 23:27:28,True
EXP000238,TK0001698,AV_Guided_Support_v1,Control,2026-04-21 22:08:48,True
EXP000239,TK0001725,AV_Guided_Support_v1,Control,2026-05-05 21:59:21,True
EXP000240,TK0001726,AV_Guided_Support_v1,Treatment,2026-06-18 16:33:55,True
EXP000241,TK0001729,AV_Guided_Support_v1,Control,2026-04-21 23:06:24,True
EXP000242,TK0001730,AV_Guided_Support_v1,Treatment,2026-04-18 18:16:18,True
EXP000243,TK0001749,AV_Guided_Support_v1,Treatment,2026-04-19 14:41:44,True
EXP000244,TK0001752,AV_Guided_Support_v1,Treatment,2026-04-27 04:20:02,True
EXP000245,TK0001755,AV_Guided_Support_v1,Treatment,2026-06-15 23:22:27,True
EXP000246,TK0001759,AV_Guided_Support_v1,Treatment,2026-04-21 02:19:24,True
EXP000247,TK0001767,AV_Guided_Support_v1,Treatment,2026-04-06 19:29:59,True
EXP000248,TK0001771,AV_Guided_Support_v1,Treatment,2026-06-01 02:33:59,True
EXP000249,TK0001789,AV_Guided_Support_v1,Treatment,2026-06-06 23:58:04,True
EXP000250,TK0001803,AV_Guided_Support_v1,Control,2026-05-03 04:09:52,True
EXP000251,TK0001804,AV_Guided_Support_v1,Treatment,2026-06-02 07:47:51,True
EXP000252,TK0001805,AV_Guided_Support_v1,Treatment,2026-06-21 12:07:29,True
EXP000253,TK0001810,AV_Guided_Support_v1,Treatment,2026-05-08 15:06:16,True
EXP000254,TK0001817,AV_Guided_Support_v1,Control,2026-04-28 20:42:46,True
EXP000255,TK0001824,AV_Guided_Support_v1,Control,2026-04-16 10:35:21,True
EXP000256,TK0001826,AV_Guided_Support_v1,Treatment,2026-04-21 12:50:17,True
EXP000257,TK0001827,AV_Guided_Support_v1,Control,2026-05-22 09:24:36,True
EXP000258,TK0001838,AV_Guided_Support_v1,Treatment,2026-05-03 23:50:52,True
EXP000259,TK0001854,AV_Guided_Support_v1,Treatment,2026-05-02 05:35:50,True
EXP000260,TK0001865,AV_Guided_Support_v1,Treatment,2026-04-10 00:51:13,True
EXP000261,TK0001868,AV_Guided_Support_v1,Treatment,2026-06-12 13:02:42,True
EXP000262,TK0001876,AV_Guided_Support_v1,Treatment,2026-06-20 00:25:05,True
EXP000263,TK0001878,AV_Guided_Support_v1,Control,2026-05-07 02:26:06,True
EXP000264,TK0001879,AV_Guided_Support_v1,Control,2026-05-28 16:40:20,True
EXP000265,TK0001885,AV_Guided_Support_v1,Treatment,2026-06-19 03:54:48,True
EXP000266,TK0001886,AV_Guided_Support_v1,Treatment,2026-05-28 19:45:49,True
EXP000267,TK0001896,AV_Guided_Support_v1,Treatment,2026-06-29 15:29:57,True
EXP000268,TK0001902,AV_Guided_Support_v1,Treatment,2026-06-30 15:05:44,True
EXP000269,TK0001912,AV_Guided_Support_v1,Control,2026-04-12 12:58:33,True
EXP000270,TK0001925,AV_Guided_Support_v1,Control,2026-04-18 18:30:58,True
EXP000271,TK0001928,AV_Guided_Support_v1,Control,2026-06-25 20:43:55,True
EXP000272,TK0001932,AV_Guided_Support_v1,Treatment,2026-06-18 13:59:02,True
EXP000273,TK0001946,AV_Guided_Support_v1,Control,2026-06-16 14:28:28,True
EXP000274,TK0001959,AV_Guided_Support_v1,Treatment,2026-06-13 15:40:11,True
EXP000275,TK0001963,AV_Guided_Support_v1,Treatment,2026-04-27 08:54:20,True
EXP000276,TK0001983,AV_Guided_Support_v1,Treatment,2026-05-20 21:46:43,True
EXP000277,TK0001988,AV_Guided_Support_v1,Control,2026-04-22 18:18:20,True
EXP000278,TK0001993,AV_Guided_Support_v1,Treatment,2026-06-24 05:51:48,True
EXP000279,TK0002000,AV_Guided_Support_v1,Control,2026-06-24 07:04:16,True
EXP000280,TK0002021,AV_Guided_Support_v1,Treatment,2026-04-07 16:16:01,True
EXP000281,TK0002028,AV_Guided_Support_v1,Treatment,2026-06-26 16:11:36,True
EXP000282,TK0002049,AV_Guided_Support_v1,Control,2026-04-22 10:32:08,True
EXP000283,TK0002056,AV_Guided_Support_v1,Control,2026-04-24 08:28:24,True
EXP000284,TK0002074,AV_Guided_Support_v1,Control,2026-06-16 03:58:11,True
EXP000285,TK0002086,AV_Guided_Support_v1,Control,2026-05-18 09:56:20,True
EXP000286,TK0002094,AV_Guided_Support_v1,Treatment,2026-06-29 13:29:11,True
EXP000287,TK0002099,AV_Guided_Support_v1,Treatment,2026-04-28 07:36:46,True
EXP000288,TK0002107,AV_Guided_Support_v1,Control,2026-06-21 15:43:25,True
EXP000289,TK0002117,AV_Guided_Support_v1,Treatment,2026-06-18 12:19:17,True
EXP000290,TK0002124,AV_Guided_Support_v1,Control,2026-05-24 03:29:17,True
EXP000291,TK0002128,AV_Guided_Support_v1,Treatment,2026-04-30 01:25:10,True
EXP000292,TK0002136,AV_Guided_Support_v1,Treatment,2026-05-24 20:35:13,True
EXP000293,TK0002137,AV_Guided_Support_v1,Control,2026-05-10 04:48:00,True
EXP000294,TK0002138,AV_Guided_Support_v1,Treatment,2026-04-22 21:12:11,True
EXP000295,TK0002143,AV_Guided_Support_v1,Control,2026-04-02 02:08:44,True
EXP000296,TK0002147,AV_Guided_Support_v1,Treatment,2026-04-03 14:56:00,True
EXP000297,TK0002148,AV_Guided_Support_v1,Treatment,2026-05-02 00:32:52,True
EXP000298,TK0002149,AV_Guided_Support_v1,Treatment,2026-06-21 05:45:02,True
EXP000299,TK0002152,AV_Guided_Support_v1,Control,2026-05-23 03:10:23,True
EXP000300,TK0002154,AV_Guided_Support_v1,Treatment,2026-04-14 06:26:35,True
EXP000301,TK0002156,AV_Guided_Support_v1,Control,2026-05-19 06:59:59,True
EXP000302,TK0002164,AV_Guided_Support_v1,Control,2026-06-24 23:24:49,True
EXP000303,TK0002175,AV_Guided_Support_v1,Treatment,2026-06-22 04:19:40,True
EXP000304,TK0002180,AV_Guided_Support_v1,Treatment,2026-05-08 07:06:09,True
EXP000305,TK0002181,AV_Guided_Support_v1,Treatment,2026-06-18 03:10:06,True
EXP000306,TK0002184,AV_Guided_Support_v1,Treatment,2026-04-12 15:53:20,True
EXP000307,TK0002185,AV_Guided_Support_v1,Control,2026-04-30 06:06:45,True
EXP000308,TK0002186,AV_Guided_Support_v1,Control,2026-04-20 21:28:59,True
EXP000309,TK0002187,AV_Guided_Support_v1,Control,2026-06-19 01:34:37,True
EXP000310,TK0002189,AV_Guided_Support_v1,Treatment,2026-04-02 11:31:47,True
EXP000311,TK0002190,AV_Guided_Support_v1,Control,2026-05-22 02:19:15,True
EXP000312,TK0002196,AV_Guided_Support_v1,Control,2026-04-12 19:27:15,True
EXP000313,TK0002208,AV_Guided_Support_v1,Control,2026-05-02 15:26:50,True
EXP000314,TK0002221,AV_Guided_Support_v1,Control,2026-06-04 23:38:54,True
EXP000315,TK0002222,AV_Guided_Support_v1,Control,2026-04-27 17:51:22,True
EXP000316,TK0002226,AV_Guided_Support_v1,Treatment,2026-04-03 18:55:44,True
